chi_pesticide,eu_pesticide,food,mrl
Zoxamide,Zoxamide,Table olives,0.02
Zoxamide,Zoxamide,Kumquats,0.02
Zoxamide,Zoxamide,Carambolas,0.02
Zoxamide,Zoxamide,Kaki/Japanese persimmons,0.02
Zoxamide,Zoxamide,Jambuls/jambolans,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,"(b) inedible peel, small",0.02
Zoxamide,Zoxamide,"Kiwi fruits (green, red, yellow)",0.02
Zoxamide,Zoxamide,Litchis/lychees,0.02
Zoxamide,Zoxamide,Passionfruits/maracujas,0.02
Zoxamide,Zoxamide,Prickly pears/cactus fruits,0.02
Zoxamide,Zoxamide,Star apples/cainitos,0.02
Zoxamide,Zoxamide,American persimmons/Virginia kaki,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,"(c) inedible peel, large",0.02
Zoxamide,Zoxamide,Avocados,0.02
Zoxamide,Zoxamide,Bananas,0.02
Zoxamide,Zoxamide,Mangoes,0.02
Zoxamide,Zoxamide,Papayas,0.02
Zoxamide,Zoxamide,Granate apples/pomegranates,0.02
Zoxamide,Zoxamide,Cherimoyas,0.02
Zoxamide,Zoxamide,Guavas,0.02
Zoxamide,Zoxamide,Pineapples,0.02
Zoxamide,Zoxamide,Breadfruits,0.02
Zoxamide,Zoxamide,Durians,0.02
Zoxamide,Zoxamide,Soursops/guanabanas,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,"VEGETABLES, FRESH or FROZEN",
Zoxamide,Zoxamide,Root and tuber vegetables,0.02
Zoxamide,Zoxamide,(a) potatoes,0.02
Zoxamide,Zoxamide,(b) tropical root and tuber vegetables,0.02
Zoxamide,Zoxamide,Cassava roots/manioc,0.02
Zoxamide,Zoxamide,Sweet potatoes,0.02
Zoxamide,Zoxamide,Yams,0.02
Zoxamide,Zoxamide,Arrowroots,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,(c) other root and tuber vegetables except sugar beets,0.02
Zoxamide,Zoxamide,Beetroots,0.02
Zoxamide,Zoxamide,Carrots,0.02
Zoxamide,Zoxamide,Celeriacs/turnip rooted celeries,0.02
Zoxamide,Zoxamide,Horseradishes,0.02
Zoxamide,Zoxamide,Jerusalem artichokes,0.02
Zoxamide,Zoxamide,Parsnips,0.02
Zoxamide,Zoxamide,Parsley roots/Hamburg roots parsley,0.02
Zoxamide,Zoxamide,Radishes,0.02
Zoxamide,Zoxamide,Salsifies,0.02
Zoxamide,Zoxamide,Swedes/rutabagas,0.02
Zoxamide,Zoxamide,Turnips,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,Bulb vegetables,0.02
Zoxamide,Zoxamide,Garlic,0.02
Zoxamide,Zoxamide,Onions,0.02
Zoxamide,Zoxamide,Shallots,0.02
Zoxamide,Zoxamide,Spring onions/green onions and Welsh onions,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,Fruiting vegetables,
Zoxamide,Zoxamide,(a) Solanaceae and Malvaceae,
Zoxamide,Zoxamide,Tomatoes,0.5
Zoxamide,Zoxamide,Sweet peppers/bell peppers,0.02
Zoxamide,Zoxamide,Aubergines/eggplants,0.02
Zoxamide,Zoxamide,Okra/lady's fingers,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,(b) cucurbits with edible peel,2
Zoxamide,Zoxamide,Cucumbers,2
Zoxamide,Zoxamide,Gherkins,2
Zoxamide,Zoxamide,Courgettes,2
Zoxamide,Zoxamide,Others (2),2
Zoxamide,Zoxamide,(c) cucurbits with inedible peel,2
Zoxamide,Zoxamide,Melons,2
Zoxamide,Zoxamide,Pumpkins,2
Zoxamide,Zoxamide,Watermelons,2
Zoxamide,Zoxamide,Others (2),2
Zoxamide,Zoxamide,(d) sweet corn,0.02
Zoxamide,Zoxamide,(e) other fruiting vegetables,
Zoxamide,Zoxamide,Brassica vegetables(excluding brassica roots and brassica baby leaf crops),0.02
Zoxamide,Zoxamide,(a) flowering brassica,0.02
Zoxamide,Zoxamide,Broccoli,0.02
Zoxamide,Zoxamide,Cauliflowers,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,(b) head brassica,0.02
Zoxamide,Zoxamide,Brussels sprouts,0.02
Zoxamide,Zoxamide,Head cabbages,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,(c) leafy brassica,0.02
Zoxamide,Zoxamide,Chinese cabbages/pe-tsai,0.02
Zoxamide,Zoxamide,Kales,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,(d) kohlrabies,0.02
Zoxamide,Zoxamide,"Leaf vegetables, herbs and edible flowers",
Zoxamide,Zoxamide,(a) lettuces and salad plants,30
Zoxamide,Zoxamide,Lamb's lettuces/corn salads,30
Zoxamide,Zoxamide,Lettuces,30
Zoxamide,Zoxamide,Escaroles/broad-leaved endives,30
Zoxamide,Zoxamide,Cresses and other sprouts and shoots,30
Zoxamide,Zoxamide,Land cresses,30
Zoxamide,Zoxamide,Roman rocket/rucola,30
Zoxamide,Zoxamide,Red mustards,30
Zoxamide,Zoxamide,Baby leaf crops (including brassica species),30
Zoxamide,Zoxamide,Others (2),30
Zoxamide,Zoxamide,(b) spinaches and similar leaves,30
Zoxamide,Zoxamide,Spinaches,30
Zoxamide,Zoxamide,Purslanes,30
Zoxamide,Zoxamide,Chards/beet leaves,30
Zoxamide,Zoxamide,Others (2),30
Zoxamide,Zoxamide,(c) grape leaves and similar species,0.02
Zoxamide,Zoxamide,(d) watercresses,0.02
Zoxamide,Zoxamide,(e) witloofs/Belgian endives,0.02
Zoxamide,Zoxamide,(f) herbs and edible flowers,30
Zoxamide,Zoxamide,Chervil,30
Zoxamide,Zoxamide,Chives,30
Zoxamide,Zoxamide,Celery leaves,30
Zoxamide,Zoxamide,Parsley,30
Zoxamide,Zoxamide,Sage,30
Zoxamide,Zoxamide,Rosemary,30
Zoxamide,Zoxamide,Thyme,30
Zoxamide,Zoxamide,Basil and edible flowers,30
Zoxamide,Zoxamide,Laurel/bay leaves,30
Zoxamide,Zoxamide,Tarragon,30
Zoxamide,Zoxamide,Others (2),30
Zoxamide,Zoxamide,Legume vegetables,0.02
Zoxamide,Zoxamide,Beans (with pods),0.02
Zoxamide,Zoxamide,Beans (without pods),0.02
Zoxamide,Zoxamide,Peas (with pods),0.02
Zoxamide,Zoxamide,Peas (without pods),0.02
Zoxamide,Zoxamide,Lentils,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,Stem vegetables,0.02
Zoxamide,Zoxamide,Asparagus,0.02
Zoxamide,Zoxamide,Cardoons,0.02
Zoxamide,Zoxamide,Celeries,0.02
Zoxamide,Zoxamide,Florence fennels,0.02
Zoxamide,Zoxamide,Globe artichokes,0.02
Zoxamide,Zoxamide,Leeks,0.02
Zoxamide,Zoxamide,Rhubarbs,0.02
Zoxamide,Zoxamide,Bamboo shoots,0.02
Zoxamide,Zoxamide,Palm hearts,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,"Fungi, mosses and lichens",0.02
Zoxamide,Zoxamide,Cultivated fungi,0.02
Zoxamide,Zoxamide,Wild fungi,0.02
Zoxamide,Zoxamide,Mosses and lichens,0.02
Zoxamide,Zoxamide,Algae and prokaryotes organisms,
Zoxamide,Zoxamide,PULSES,0.02
Zoxamide,Zoxamide,Beans,0.02
Zoxamide,Zoxamide,Lentils,0.02
Zoxamide,Zoxamide,Peas,0.02
Zoxamide,Zoxamide,Lupins/lupini beans,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,OILSEEDS AND OIL FRUITS,
Zoxamide,Zoxamide,Oilseeds,0.05
Zoxamide,Zoxamide,Linseeds,0.05
Zoxamide,Zoxamide,Peanuts/groundnuts,0.05
Zoxamide,Zoxamide,Poppy seeds,0.05
Zoxamide,Zoxamide,Sesame seeds,0.05
Zoxamide,Zoxamide,Sunflower seeds,0.05
Zoxamide,Zoxamide,Rapeseeds/canola seeds,0.05
Zoxamide,Zoxamide,Soyabeans,0.05
Zoxamide,Zoxamide,Mustard seeds,0.05
Zoxamide,Zoxamide,Cotton seeds,0.05
Zoxamide,Zoxamide,Pumpkin seeds,0.05
Zoxamide,Zoxamide,Safflower seeds,0.05
Zoxamide,Zoxamide,Borage seeds,0.05
Zoxamide,Zoxamide,Gold of pleasure seeds,0.05
Zoxamide,Zoxamide,Hemp seeds,0.05
Zoxamide,Zoxamide,Castor beans,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,Oil fruits,
Zoxamide,Zoxamide,Olives for oil production,0.02
Zoxamide,Zoxamide,Oil palms kernels,0.05
Zoxamide,Zoxamide,Oil palms fruits,0.05
Zoxamide,Zoxamide,Kapok,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,CEREALS,0.02
Zoxamide,Zoxamide,Barley,0.02
Zoxamide,Zoxamide,Buckwheat and other pseudocereals,0.02
Zoxamide,Zoxamide,Maize/corn,0.02
Zoxamide,Zoxamide,Common millet/proso millet,0.02
Zoxamide,Zoxamide,Oat,0.02
Zoxamide,Zoxamide,Rice,0.02
Zoxamide,Zoxamide,Rye,0.02
Zoxamide,Zoxamide,Sorghum,0.02
Zoxamide,Zoxamide,Wheat,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,"TEAS, COFFEE, HERBAL INFUSIONS, COCOA AND CAROBS",0.05
Zoxamide,Zoxamide,Teas,0.05
Zoxamide,Zoxamide,Coffee beans,0.05
Zoxamide,Zoxamide,Herbal infusions from,0.05
Zoxamide,Zoxamide,(a) flowers,0.05
Zoxamide,Zoxamide,Chamomile,0.05
Zoxamide,Zoxamide,Hibiscus/roselle,0.05
Zoxamide,Zoxamide,Rose,0.05
Zoxamide,Zoxamide,Jasmine,0.05
Zoxamide,Zoxamide,Lime/linden,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,(b) leaves and herbs,0.05
Zoxamide,Zoxamide,Strawberry,0.05
Zoxamide,Zoxamide,Rooibos,0.05
Zoxamide,Zoxamide,Mate/maté,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,(c) roots,0.05
Zoxamide,Zoxamide,Valerian,0.05
Zoxamide,Zoxamide,Ginseng,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,(d) any other parts of the plant,0.05
Zoxamide,Zoxamide,Cocoa beans,0.05
Zoxamide,Zoxamide,Carobs/Saint John's breads,0.05
Zoxamide,Zoxamide,HOPS,0.05
Zoxamide,Zoxamide,SPICES,
Zoxamide,Zoxamide,Seed spices,0.05
Zoxamide,Zoxamide,Anise/aniseed,0.05
Zoxamide,Zoxamide,Black caraway/black cumin,0.05
Zoxamide,Zoxamide,Celery,0.05
Zoxamide,Zoxamide,Coriander,0.05
Zoxamide,Zoxamide,Cumin,0.05
Zoxamide,Zoxamide,Dill,0.05
Zoxamide,Zoxamide,Fennel,0.05
Zoxamide,Zoxamide,Fenugreek,0.05
Zoxamide,Zoxamide,Nutmeg,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,Fruit spices,0.05
Zoxamide,Zoxamide,Allspice/pimento,0.05
Zoxamide,Zoxamide,Sichuan pepper,0.05
Zoxamide,Zoxamide,Caraway,0.05
Zoxamide,Zoxamide,Cardamom,0.05
Zoxamide,Zoxamide,Juniper berry,0.05
Zoxamide,Zoxamide,"Peppercorn (black, green and white)",0.05
Zoxamide,Zoxamide,Vanilla,0.05
Zoxamide,Zoxamide,Tamarind,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,Bark spices,0.05
Zoxamide,Zoxamide,Cinnamon,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,Root and rhizome spices,
Zoxamide,Zoxamide,Liquorice,0.05
Zoxamide,Zoxamide,Turmeric/curcuma,0.05
Zoxamide,Zoxamide,Horseradish (11),
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,Bud spices,0.05
Zoxamide,Zoxamide,Cloves,0.05
Zoxamide,Zoxamide,Capers,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,Flower pistil spices,0.05
Zoxamide,Zoxamide,Saffron,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,Aril spices,0.05
Zoxamide,Zoxamide,Mace,0.05
Zoxamide,Zoxamide,Others (2),0.05
Zoxamide,Zoxamide,SUGAR PLANTS,0.02
Zoxamide,Zoxamide,Sugar beet roots,0.02
Zoxamide,Zoxamide,Sugar canes,0.02
Zoxamide,Zoxamide,Chicory roots,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,PRODUCTS OF ANIMAL ORIGIN -TERRESTRIAL ANIMALS,
Zoxamide,Zoxamide,Commodities from,0.01
Zoxamide,Zoxamide,(a) swine,0.01
Zoxamide,Zoxamide,Muscle,0.01
Zoxamide,Zoxamide,Fat,0.01
Zoxamide,Zoxamide,Liver,0.01
Zoxamide,Zoxamide,Kidney,0.01
Zoxamide,Zoxamide,Edible offals (other than liver and kidney),0.01
Zoxamide,Zoxamide,Others (2),0.01
Zoxamide,Zoxamide,(b) bovine,0.01
Zoxamide,Zoxamide,Muscle,0.01
Zoxamide,Zoxamide,Fat,0.01
Zoxamide,Zoxamide,Liver,0.01
Zoxamide,Zoxamide,Kidney,0.01
Zoxamide,Zoxamide,Edible offals (other than liver and kidney),0.01
Zoxamide,Zoxamide,Others (2),0.01
Zoxamide,Zoxamide,(c) sheep,0.01
Zoxamide,Zoxamide,Muscle,0.01
Zoxamide,Zoxamide,Fat,0.01
Zoxamide,Zoxamide,Liver,0.01
Zoxamide,Zoxamide,Kidney,0.01
Zoxamide,Zoxamide,Edible offals (other than liver and kidney),0.01
Zoxamide,Zoxamide,Others (2),0.01
Zoxamide,Zoxamide,d) goat,0.01
Zoxamide,Zoxamide,Muscle,0.01
Zoxamide,Zoxamide,Fat,0.01
Zoxamide,Zoxamide,Liver,0.01
Zoxamide,Zoxamide,Kidney,0.01
Zoxamide,Zoxamide,Edible offals (other than liver and kidney),0.01
Zoxamide,Zoxamide,Others (2),0.01
Zoxamide,Zoxamide,(e) equine,0.01
Zoxamide,Zoxamide,Muscle,0.01
Zoxamide,Zoxamide,Fat,0.01
Zoxamide,Zoxamide,Liver,0.01
Zoxamide,Zoxamide,Kidney,0.01
Zoxamide,Zoxamide,Edible offals (other than liver and kidney),0.01
Zoxamide,Zoxamide,Others (2),0.01
Zoxamide,Zoxamide,(f) poultry,0.01
Zoxamide,Zoxamide,Muscle,0.01
Zoxamide,Zoxamide,Fat,0.01
Zoxamide,Zoxamide,Liver,0.01
Zoxamide,Zoxamide,Kidney,0.01
Zoxamide,Zoxamide,Edible offals (other than liver and kidney),0.01
Zoxamide,Zoxamide,Others (2),0.01
Zoxamide,Zoxamide,(g) other farmed terrestrial animals,0.01
Zoxamide,Zoxamide,Muscle,0.01
Zoxamide,Zoxamide,Fat,0.01
Zoxamide,Zoxamide,Liver,0.01
Zoxamide,Zoxamide,Kidney,0.01
Zoxamide,Zoxamide,Edible offals (other than liver and kidney),0.01
Zoxamide,Zoxamide,Others (2),0.01
Zoxamide,Zoxamide,Milk,0.01
Zoxamide,Zoxamide,Cattle,0.01
Zoxamide,Zoxamide,Sheep,0.01
Zoxamide,Zoxamide,Goat,0.01
Zoxamide,Zoxamide,Horse,0.01
Zoxamide,Zoxamide,Others (2),0.01
Zoxamide,Zoxamide,Birds eggs,0.01
Zoxamide,Zoxamide,Chicken,0.01
Zoxamide,Zoxamide,Duck,0.01
Zoxamide,Zoxamide,Geese,0.01
Zoxamide,Zoxamide,Quail,0.01
Zoxamide,Zoxamide,Others (2),0.01
Zoxamide,Zoxamide,Honey and other apiculture products (7),0.05
Zoxamide,Zoxamide,Amphibians and Reptiles,0.01
Zoxamide,Zoxamide,Terrestrial invertebrate animals,0.01
Zoxamide,Zoxamide,Wild terrestrial vertebrate animals,0.01
